# prefix,country_code,region_code,city,postal
171.22.108.0/24,US,US-NY,New York,10001
45.15.176.0/24,US,US-NY,New York,10001
45.141.121.0/24,US,US-NY,New York,10001
185.135.136.0/24,US,US-CA,Los Angeles,90017
194.53.109.0/24,US,US-CO,Denver,80202
45.12.135.0/24,US,US-NJ,Secaucus,07094
213.59.122.0/24,US,US-NJ,Secaucus,07094
45.83.151.0/24,US,US-GA,Atlanta,30305
45.9.15.0/24,US,US-GA,Atlanta,30305
64.94.214.0/24,US,US-TX,Dallas,75207
92.118.63.0/24,US,US-NJ,Secaucus,07094
91.132.0.0/24,US,US-NJ,Secaucus,07094
64.94.215.0/24,US,US-NY,New York,10012
45.90.123.0/24,US,US-WA,Seattle,98101
92.118.232.0/24,US,US-AZ,Phoenix,85001
185.217.168.0/24,US,US-NJ,Secaucus,07094
45.83.149.0/24,US,US-TX,Houston,77001
45.15.146.0/24,US,US-NY,New York,10001
69.25.114.0/24,US,US-NY,New York,10001
193.239.147.0/24,US,US-NY,New York,10001
172.81.42.0/24,US,US-NY,New York,10001
45.12.131.0/24,US,US-CA,San Francisco,94105
212.90.123.0/24,US,US-WA,Seattle,98101
45.83.25.0/24,US,US-WA,Seattle,98101
171.22.131.0/24,US,US-WA,Seattle,98101
45.43.27.0/24,US,US-CA,Los Angeles,90017
64.94.211.0/24,US,US-FL,Jacksonville,32201
45.82.250.0/24,US,US-TX,Dallas,75207
185.225.139.0/24,US,US-NY,New York,10001
